week_start,closed_trades,wins,losses,win_rate,realized_pnl_usd,avg_return_pct,avg_holding_days,best_trade,worst_trade
2026-07-06,2,0,2,0.0,-3.15,-0.13974733255230964,7.5,ASTS -1.52,IONQ -1.63
2026-07-13,1,0,1,0.0,-0.59,-0.05239786856127885,16.0,TSLA -0.59,TSLA -0.59
