section,ticker,shares,avg_cost,cost_basis,current_price,market_value,unrealized_pnl,holding_return_pct,total_deposits_nzd,total_deposits_usd,cash_available_usd,notes
Cash Summary,,,,,,,,,199.32,113.89,28.239999999999995,Cash and deposits summary
Holding,ANET,0.0958926225503501,187.70995642077443,17.99999999999999,172.27999877929688,16.520380895917892,-1.4796191040820972,-0.0822010613378943,,,,
Holding,BFLY,1.4445841511285575,8.306888865300923,12.0,7.269999980926514,10.502126751151357,-1.4978732488486433,-0.1248227707373869,,,,
Holding,BLZE,1.345619017798286,15.799419983514948,21.26,15.128999710083008,20.35786973015245,-0.9021302698475466,-0.0424332205948987,,,,
Holding,GOOGL,0.0528596778390104,366.8202454629822,19.389999999999954,370.7492980957031,19.597688456378098,0.2076884563781433,0.0107111117265675,,,,
Holding,SOFI,0.612011068068622,18.39836007465386,11.260000000000002,17.815000534057617,10.902977504491677,-0.3570224955083265,-0.0317071488018051,,,,
