ticker,tier,price,gap_pct,volume_trend,premarket_score,premarket_action,buy_amount_usd,shares_to_buy,stop_loss,trim_price,reason_tags,position_rationale,gap_reason,volume_reason,macd_reason,rsi_reason
TSM,QUALITY,420.3900146484375,0.0220361706931489,1.031400668318021,50,SKIP,0,0,390.43072945731024,460.3357282366072,macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram negative,RSI healthy 40–70
DDOG,QUALITY,270.7300109863281,-0.0192129762097973,0.5887063417673052,45,SKIP,0,0,249.83907972063335,298.5845860072545,weak_volume; macd_positive,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram positive,RSI neutral/unknown
BLZE,MOMENTUM,16.549999237060547,0.0098826338563442,0.4289365013454849,45,SKIP,0,0,13.550999096461704,21.04849944795881,weak_volume; macd_positive,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram positive,RSI neutral/unknown
PUBM,MOMENTUM,13.6899995803833,-0.0110537672736636,0.5429485849005998,45,SKIP,0,0,12.48234258379255,15.501485075269429,weak_volume; macd_positive,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram positive,RSI neutral/unknown
NBIS,MOMENTUM,194.08999633789065,0.0310198990532244,0.9630161260402392,40,SKIP,0,0,142.96970912388394,270.7704271589007,gap_up; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,Valid gap up >3%,Volume not confirming,MACD histogram negative,RSI oversold <30
LUNR,MOMENTUM,14.90999984741211,0.0323432829789085,0.7220426106246575,40,SKIP,0,0,11.623856680733816,19.83921459742955,gap_up; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,Valid gap up >3%,Volume not confirming,MACD histogram negative,RSI oversold <30
ARM,MOMENTUM,281.1700134277344,0.0376936349020097,0.7404378179758314,40,SKIP,0,0,222.40744018554688,369.3138732910156,gap_up; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,Valid gap up >3%,Volume not confirming,MACD histogram negative,RSI oversold <30
INTC,QUALITY,107.76000213623048,0.0469355722360184,0.6945210388425916,40,SKIP,0,0,93.41143008640836,126.89143153599332,gap_up; weak_volume; macd_negative,Skip — setup does not meet premarket rules,Valid gap up >3%,Weak volume <0.7x,MACD histogram negative,RSI neutral/unknown
TSLA,QUALITY,396.1799926757813,0.0109940121352903,0.4681728500583489,35,SKIP,0,0,368.3292813982283,433.31427437918535,weak_volume; macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI healthy 40–70
PL,MOMENTUM,25.559999465942383,0.0084746235925221,0.3954853718663363,35,SKIP,0,0,20.80728530883789,32.68907070159912,weak_volume; macd_negative; rsi_healthy,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI healthy 40–70
JOBY,MOMENTUM,7.889999866485596,0.0100267124430337,1.236660633684115,25,SKIP,0,0,6.760285581861224,9.584571293422156,macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram negative,RSI oversold <30
RKLB,MOMENTUM,78.80999755859375,0.0264563885114627,0.5506274104002613,25,SKIP,0,0,63.34428405761719,102.0085678100586,weak_volume; macd_negative,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI neutral/unknown
CCJ,QUALITY,91.56999969482422,0.0177384274683925,1.1400966415208773,25,SKIP,0,0,84.84464209420341,100.53714316231864,macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,No meaningful gap,Volume not confirming,MACD histogram negative,RSI oversold <30
SMCI,MOMENTUM,27.64999961853028,0.0112075006381963,0.3929190728687195,10,SKIP,0,0,24.100000108991352,32.97499888283866,weak_volume; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI oversold <30
IONQ,MOMENTUM,39.290000915527344,0.0298353862022756,0.5932799502771825,10,SKIP,0,0,31.88785825456892,50.393214906964985,weak_volume; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI oversold <30
OKLO,MOMENTUM,46.2400016784668,0.0251036384349932,0.4382935699341941,10,SKIP,0,0,39.353258405412944,56.57011658804757,weak_volume; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI oversold <30
SMR,MOMENTUM,8.600000381469727,0.0299401183926648,0.6631252334389868,10,SKIP,0,0,7.252858161926269,10.620713710784912,weak_volume; macd_negative; rsi_oversold,Skip — setup does not meet premarket rules,No meaningful gap,Weak volume <0.7x,MACD histogram negative,RSI oversold <30
